#X,C1_BASE1->TM_Torque(abs)
#Time(sec),Torque(N-m)_Real
7.800300E-02,0.138037
7.832400E-02,0.138038
7.864500E-02,0.138039
7.896600E-02,0.136473
7.928700E-02,0.136473
7.960800E-02,0.136474
7.992900E-02,0.138042
8.025000E-02,0.136476
8.057100E-02,0.136477
8.089200E-02,0.136478
8.121300E-02,0.136479
8.153400E-02,0.136479
8.185500E-02,0.138047
8.217600E-02,0.136481
8.249700E-02,0.136482
8.281800E-02,0.136483
8.313900E-02,0.135785
8.346000E-02,2.205203
8.378100E-02,0.136486
8.410200E-02,0.136486
8.442300E-02,0.136487
8.474400E-02,0.136488
8.506500E-02,0.138055
8.538600E-02,0.137365
8.570700E-02,2.204988
8.602800E-02,0.136492
8.634900E-02,0.136493
8.667000E-02,0.136494
8.699100E-02,0.138060
8.731200E-02,0.138061
8.763300E-02,0.138062
8.795400E-02,0.136497
8.827500E-02,0.136498
8.859600E-02,0.138065
8.891700E-02,0.136500
8.923800E-02,0.136501
8.955900E-02,0.136502
8.988000E-02,0.136503
9.020100E-02,0.138069
9.052200E-02,0.136505
9.084300E-02,0.136506
9.116400E-02,0.136507
9.148500E-02,0.136508
9.180600E-02,0.136509
9.212700E-02,0.136510
9.244800E-02,0.136511
9.276900E-02,0.136512
9.309000E-02,0.138078
9.341100E-02,0.138079
9.373200E-02,0.136515
9.405300E-02,0.136516
9.437400E-02,0.136517
9.469500E-02,0.136518
9.501600E-02,0.138083
9.533700E-02,0.136520
9.565800E-02,0.138085
9.597900E-02,0.136522
9.630000E-02,0.136523
9.662100E-02,0.136524
9.694200E-02,0.138089
9.726300E-02,0.136526
9.758400E-02,0.136527
9.790500E-02,0.136528
9.822600E-02,0.138093
9.854700E-02,0.138094
9.886800E-02,0.138095
9.918900E-02,0.136532
9.951000E-02,0.136533
9.983100E-02,0.136534
1.001520E-01,0.138099
1.004730E-01,0.136536
1.007940E-01,0.138101
1.011150E-01,0.136538
1.014360E-01,0.136539
1.017570E-01,0.138104
1.020780E-01,0.136542
1.023990E-01,0.136543
1.027200E-01,0.136544
1.030410E-01,0.138108
1.033620E-01,0.136546
1.036830E-01,0.138110
1.040040E-01,0.136548
1.043250E-01,0.136549
1.046460E-01,0.136550
1.049670E-01,0.136551
1.052880E-01,0.136553
1.056090E-01,0.138116
1.059300E-01,0.136555
1.062510E-01,0.136556
1.065720E-01,0.138120
1.068930E-01,0.136558
1.072140E-01,0.136559
1.075350E-01,0.136560
1.078560E-01,0.138124
1.081770E-01,0.136563
1.084980E-01,0.138126
1.088190E-01,0.136565
1.091400E-01,0.138128
1.094610E-01,0.136567
1.097820E-01,0.138130
1.101030E-01,0.136570
1.104240E-01,0.136571
1.107450E-01,0.136572
1.110660E-01,0.136573
1.113870E-01,0.136574
1.117080E-01,0.136575
1.120290E-01,0.136577
1.123500E-01,0.136578
1.126710E-01,0.136579
1.129920E-01,0.136580
1.133130E-01,0.136581
1.136340E-01,0.136583
1.139550E-01,0.136584
1.142760E-01,0.136585
1.145970E-01,0.136586
1.149180E-01,0.136587
1.152390E-01,0.138149
1.155600E-01,0.138151
1.158810E-01,0.138152
1.162020E-01,0.138153
1.165230E-01,0.136594
1.168440E-01,0.136595
1.171650E-01,0.138157
1.174860E-01,0.136597
1.178070E-01,0.136598
1.181280E-01,0.136600
1.184490E-01,0.136601
1.187700E-01,0.138162
1.190910E-01,0.136603
1.194120E-01,0.136605
1.197330E-01,0.136606
1.200540E-01,0.138167
1.203750E-01,0.138168
1.206960E-01,0.136610
1.210170E-01,0.136611
1.213380E-01,0.136612
1.216590E-01,0.136614
1.219800E-01,0.136615
1.223010E-01,0.136616
1.226220E-01,0.138177
1.229430E-01,0.138178
1.232640E-01,0.136620
1.235850E-01,0.138181
1.239060E-01,0.136623
1.242270E-01,0.136624
1.245480E-01,0.136625
1.248690E-01,0.136627
1.251900E-01,0.136628
1.255110E-01,0.136629
1.258320E-01,0.136631
1.261530E-01,0.136632
1.264740E-01,0.138192
1.267950E-01,0.138193
1.271160E-01,0.136636
1.274370E-01,0.136637
1.277580E-01,0.138197
1.280790E-01,0.136640
1.284000E-01,0.137509
1.287210E-01,2.199820
1.290420E-01,0.136644
1.293630E-01,0.136645
1.296840E-01,0.135948
1.300050E-01,2.199634
1.303260E-01,0.136649
1.306470E-01,0.136651
1.309680E-01,0.136652
1.312890E-01,0.136654
1.316100E-01,0.135957
1.319310E-01,2.199350
1.322520E-01,0.138215
1.325730E-01,0.138216
1.328940E-01,0.136660
1.332150E-01,0.136662
1.335360E-01,0.136663
1.338570E-01,0.136665
1.341780E-01,0.136666
1.344990E-01,0.136667
1.348200E-01,0.138226
1.351410E-01,0.136670
1.354620E-01,0.138228
1.357830E-01,0.138230
1.361040E-01,0.138231
1.364250E-01,0.136676
1.367460E-01,0.136677
1.370670E-01,0.136679
1.373880E-01,0.136680
1.377090E-01,0.136682
1.380300E-01,0.136683
1.383510E-01,0.136685
1.386720E-01,0.138242
1.389930E-01,0.138243
1.393140E-01,0.136689
1.396350E-01,0.138246
1.399560E-01,0.136692
1.402770E-01,0.136693
1.405980E-01,0.138250
1.409190E-01,0.136696
1.412400E-01,0.136698
1.415610E-01,0.136699
1.418820E-01,0.136701
1.422030E-01,0.136702
1.425240E-01,0.136704
1.428450E-01,0.138260
1.431660E-01,0.136707
1.434870E-01,0.136708
1.438080E-01,0.138264
1.441290E-01,0.136711
1.444500E-01,0.136713
1.447710E-01,0.136714
1.450920E-01,0.136716
1.454130E-01,0.138271
1.457340E-01,0.138273
1.460550E-01,0.136720
1.463760E-01,0.138276
1.466970E-01,0.138277
1.470180E-01,0.138279
1.473390E-01,0.137590
1.476600E-01,2.196897
1.479810E-01,0.136032
1.483020E-01,2.196790
1.486230E-01,0.136733
1.489440E-01,0.138288
1.492650E-01,0.138289
1.495860E-01,0.136737
1.499070E-01,0.136739
1.502280E-01,0.138293
1.505490E-01,0.136742
1.508700E-01,0.136046
1.511910E-01,2.196305
1.515120E-01,0.136747
1.518330E-01,0.138301
1.521540E-01,0.136750
1.524750E-01,0.136054
1.527960E-01,2.196032
1.531170E-01,0.136057
1.534380E-01,2.195922
1.537590E-01,0.138310
1.540800E-01,0.138312
1.544010E-01,0.138313
1.547220E-01,0.136763
1.550430E-01,0.136765
1.553640E-01,0.136766
1.556850E-01,0.138319
1.560060E-01,0.136769
1.563270E-01,0.136771
1.566480E-01,0.136075
1.569690E-01,2.195313
1.572900E-01,0.136776
1.576110E-01,0.136778
1.579320E-01,0.136779
1.582530E-01,0.138332
1.585740E-01,0.136782
1.588950E-01,0.136784
1.592160E-01,0.138336
1.595370E-01,0.138338
1.598580E-01,0.138339
1.601790E-01,0.136791
1.605000E-01,0.138343
1.608210E-01,0.138344
1.611420E-01,0.136796
1.614630E-01,0.136100
1.617840E-01,2.194459
1.621050E-01,0.136801
1.624260E-01,0.138352
1.627470E-01,0.136804
1.630680E-01,0.136806
1.633890E-01,0.137667
1.637100E-01,2.194109
1.640310E-01,0.136811
1.643520E-01,0.136813
1.646730E-01,0.136815
1.649940E-01,0.136816
1.653150E-01,0.136818
1.656360E-01,0.138368
1.659570E-01,0.136124
1.662780E-01,2.193635
1.665990E-01,0.136825
1.669200E-01,0.136827
1.672410E-01,0.136828
1.675620E-01,0.138378
1.678830E-01,0.138380
1.682040E-01,0.136834
1.685250E-01,0.136835
1.688460E-01,0.136837
1.691670E-01,0.138387
1.694880E-01,0.136841
1.698090E-01,0.138390
1.701300E-01,0.138392
1.704510E-01,0.136846
1.707720E-01,0.138395
